Time (ps),fter lsq fit to Backbone
996.8400269,0.5182537
997.8400269,0.5371833
998.8400269,0.5326230
1000.0000610,0.5295528
1001.0000610,0.5212300
1002.0000610,0.5187011
1003.0000610,0.5170509
1004.0000610,0.5197241
1005.0000610,0.5000489
1006.0000610,0.5120267
1007.0000610,0.4861790
1008.0000610,0.5019737
1008.9800415,0.5127245
1009.9800415,0.5073837
1010.9800415,0.5116178
1011.9800415,0.5143571
1012.9800415,0.5209774
1013.9800415,0.5193968
1014.9800415,0.5262636
1015.9800415,0.5170814
1016.6800537,0.5100158
1017.6800537,0.5178880
1018.6800537,0.5181579
1019.6800537,0.5267237
1020.6800537,0.5531157
1021.6800537,0.5254732
1022.6800537,0.5434992
1023.6800537,0.5113343
1024.6800537,0.5102916
1025.4500732,0.4928332
1026.4500732,0.4964184
1027.4500732,0.4984760
1028.4500732,0.4722284
1029.4500732,0.4715315
1030.4500732,0.4794286
1031.4500732,0.5044626
1032.4500732,0.4688203
1033.5900879,0.4598512
1034.5900879,0.4736388
1035.5900879,0.4644399
1036.5900879,0.4649905
1037.5900879,0.4888040
1038.5900879,0.4704380
1039.5900879,0.4858095
1040.5900879,0.4956939
1041.4801025,0.5093464
1042.4801025,0.4925641
1043.4801025,0.4915269
1044.4801025,0.5035387
1045.4801025,0.5085548
1046.4801025,0.5021389
1047.4801025,0.5171412
1048.4801025,0.5145431
1049.4801025,0.5174567
1050.1400146,0.5183028
1051.1400146,0.5101718
1052.1400146,0.4913210
1053.1400146,0.4899586
1054.1400146,0.5071347
1055.1400146,0.5111308
1056.1400146,0.5048185
1057.1400146,0.5010603
1058.1400146,0.5281407
1059.1101074,0.5370619
1060.1101074,0.5231515
1061.1101074,0.5042472
1062.1101074,0.5022123
1063.1101074,0.5165856
1064.1101074,0.5142165
1065.1101074,0.5018390
1066.1101074,0.5182655
1067.1101074,0.5328977
1067.7600098,0.4932677
1068.7600098,0.5071773
1069.7600098,0.5106514
1070.7600098,0.5269279
1071.7600098,0.5137898
1072.7600098,0.5166436
1073.7600098,0.5378808
1074.7600098,0.5268951
1075.7600098,0.5306759
1076.6000977,0.5319638
1077.6000977,0.5486431
1078.6000977,0.5414780
1079.6000977,0.5322432
1080.6000977,0.5484459
1081.6000977,0.5217651
1082.6000977,0.5142395
1083.6000977,0.5283446
1084.3900146,0.5253412
1085.3900146,0.5303935
1086.3900146,0.5311306
1087.3900146,0.5049210
1088.3900146,0.5155916
1089.3900146,0.4942841
1090.3900146,0.5071300
1091.3900146,0.5028254
1092.3900146,0.5071915
1093.4600830,0.4999705
1094.4600830,0.5095593
1095.4600830,0.5053362
1096.4600830,0.5140979
1097.4600830,0.4971901
1098.4600830,0.5123966
1099.4600830,0.4823127
1100.8100586,0.4963171
1101.8100586,0.5007949
1102.8100586,0.4909790
1103.8100586,0.5032360
1104.8100586,0.4990829
1105.8100586,0.4969224
1106.8100586,0.4841323
1107.8100586,0.4976072
1108.3800049,0.5027093
1109.3800049,0.4880613
1110.3800049,0.4986020
1111.3800049,0.5120081
1112.3800049,0.5103866
1113.3800049,0.5014490
1114.3800049,0.4959176
1115.8699951,0.4846801
1116.8699951,0.5123611
1117.8699951,0.5108379
1118.8699951,0.5055434
1119.8699951,0.5056246
1120.8699951,0.5233288
1121.8699951,0.5019186
1122.9600830,0.5182303
1123.9600830,0.5159905
1124.9600830,0.5147286
1125.9600830,0.5193750
1126.9600830,0.5271984
1127.9600830,0.5135982
1128.9600830,0.5133184
1130.3699951,0.5219700
1131.3699951,0.5382598
1132.3699951,0.5297378
1133.3699951,0.5343224
1134.3699951,0.5285413
1135.3699951,0.5279676
1136.3699951,0.5205203
1137.8400879,0.5333541
1138.8400879,0.5251384
1139.8400879,0.5313123
1140.8400879,0.5275929
1141.8400879,0.5246994
1142.8400879,0.5087907
